date,conversion_rate,is_post_campaign
2024-01-01,0.082,False
2024-01-02,0.081,False
2024-01-03,0.080,False
2024-01-04,0.083,False
2024-01-05,0.079,False
2024-01-06,0.082,False
2024-01-07,0.081,False
2024-01-08,0.080,False
2024-01-09,0.079,False
2024-01-10,0.081,False
2024-01-11,0.083,False
2024-01-12,0.082,False
2024-01-13,0.084,False
2024-01-14,0.083,False
2024-01-15,0.082,False
2024-01-16,0.081,False
2024-01-17,0.080,False
2024-01-18,0.079,False
2024-01-19,0.081,False
2024-01-20,0.080,False
2024-01-21,0.082,False
2024-01-22,0.081,False
2024-01-23,0.080,False
2024-01-24,0.081,False
2024-01-25,0.080,False
2024-01-26,0.082,False
2024-01-27,0.081,False
2024-01-28,0.080,False
2024-01-29,0.082,False
2024-01-30,0.083,False
2024-01-31,0.084,True
2024-02-01,0.092,True
2024-02-02,0.096,True
2024-02-03,0.098,True
2024-02-04,0.102,True
2024-02-05,0.106,True
2024-02-06,0.110,True
2024-02-07,0.108,True
2024-02-08,0.105,True
2024-02-09,0.104,True
2024-02-10,0.101,True
2024-02-11,0.099,True
2024-02-12,0.097,True
2024-02-13,0.096,True
2024-02-14,0.094,True
2024-02-15,0.093,True
2024-02-16,0.092,True
2024-02-17,0.091,True
2024-02-18,0.090,True
2024-02-19,0.089,True
2024-02-20,0.088,True
2024-02-21,0.087,True
2024-02-22,0.086,True
2024-02-23,0.085,True
2024-02-24,0.085,True
2024-02-25,0.084,True
2024-02-26,0.084,True
2024-02-27,0.083,True
2024-02-28,0.083,True
2024-02-29,0.082,True
