user_id,registration_date,deposit_date,country,marketing_channel,device,sessions,gross_revenue
1001,2024-01-02,2024-01-05,Canada,Affiliates,Desktop,5,120
1002,2024-01-03,,United Kingdom,Paid Search,Mobile,3,0
1003,2024-01-03,2024-01-04,Germany,Affiliates,Mobile,4,80
1004,2024-01-04,,Canada,Organic,Desktop,2,0
1005,2024-01-05,2024-01-08,United States,Paid Social,Mobile,6,200
1006,2024-01-05,,United States,Paid Search,Desktop,3,0
1007,2024-01-06,2024-01-06,Canada,Affiliates,Mobile,7,150
1008,2024-01-06,,Germany,Organic,Desktop,2,0
1009,2024-01-07,2024-01-09,United Kingdom,Paid Social,Mobile,4,90
1010,2024-01-07,,Canada,Paid Social,Desktop,5,0
1011,2024-01-08,2024-01-10,United States,Affiliates,Mobile,6,130
1012,2024-01-08,,Germany,Paid Search,Mobile,3,0
1013,2024-01-09,2024-01-09,United Kingdom,Affiliates,Desktop,5,110
1014,2024-01-10,,Canada,Organic,Mobile,2,0
1015,2024-01-10,2024-01-12,United States,Paid Social,Desktop,6,170
1016,2024-01-11,,United States,Paid Search,Mobile,4,0
1017,2024-01-11,2024-01-13,Germany,Affiliates,Desktop,5,95
1018,2024-01-12,,Canada,Paid Search,Mobile,3,0
1019,2024-01-12,2024-01-15,United Kingdom,Paid Social,Desktop,5,140
1020,2024-01-13,,Germany,Organic,Mobile,2,0
