provider_id,games_count,unique_players,total_bets,total_wins,revenue,retention_rate,ggr_share
provider_050,95,3225,7714232.484121359,6578771.29062925,1135461.193492109,0.4275841136478109,0.06759333794049362
provider_023,30,9527,6900523.049511245,5941196.890059955,959326.15945129,0.3588557297256404,0.057108122816174035
provider_003,82,7596,6401932.831266038,5662913.519141099,739019.3121249387,0.44263911689686297,0.04399338559108516
provider_028,100,4924,5464373.860451713,4747383.227363496,716990.6330882171,0.4875888120648426,0.042682031266475975
provider_031,59,18835,5482351.552455407,4781581.400953598,700770.1515018083,0.4315259539389838,0.04171643552466491
provider_015,88,8511,5260387.400004431,4592215.421608609,668171.9783958215,0.6752920470748812,0.03977588542605779
provider_029,69,11507,4677741.142559588,4038959.97230486,638781.1702547278,0.6078697009087372,0.038026267879979175
provider_046,116,6122,5227119.448391664,4624468.309636251,602651.1387554128,0.6269877114652055,0.03587546832563857
provider_040,79,16729,4257835.813275226,3664953.039629204,592882.7736460222,0.33408446081336524,0.03529396328808243
provider_008,86,3508,4765558.969646703,4219384.942404735,546174.0272419685,0.6379239074458086,0.032513419048823974
provider_013,90,7649,4739270.798608916,4216881.647099738,522389.1515091779,0.36724755535167186,0.03109751936639213
provider_011,67,18489,5513022.213428537,5012720.506741133,500301.7066874048,0.3987168576702341,0.029782666749114645
provider_012,117,15022,4033221.546073494,3534341.2309561167,498880.3151173773,0.3630059844710549,0.02969805214379894
provider_042,93,16192,5722402.81308302,5229085.392156764,493317.4209262561,0.6308232614133504,0.029366896319942704
provider_033,20,3633,6605152.88499526,6113319.6484685615,491833.2365266988,0.5483638847215403,0.029278543694366176
provider_030,58,13561,6379236.568298101,5909685.16977312,469551.398524981,0.4587318690355437,0.027952118965262555
provider_014,93,19366,6237491.430620192,5771541.7387311,465949.6918890914,0.39320786173665023,0.02773771148467445
provider_006,104,1354,6355467.732664759,5994449.993223356,361017.7394414032,0.4243275448723862,0.021491173986780045
provider_007,19,11158,3941868.3165375497,3580860.1718933186,361008.14464423107,0.4117283765972536,0.02149060281413985
provider_038,101,6591,3964079.2268854054,3618012.9174598963,346066.30942550907,0.624562698364002,0.020601124139589918
provider_047,59,5171,3213594.579150428,2870074.075499532,343520.50365089625,0.33268521834562326,0.020449573817094936
provider_027,54,6938,2701953.183250127,2412525.247612739,289427.9356373879,0.31231063475914933,0.017229475014280488
provider_005,57,10206,5788740.339697514,5506467.569150037,282272.7705474766,0.27460733433599205,0.016803532239032522
provider_020,59,9656,3775380.419242718,3516956.193177071,258424.22606564686,0.4818848831605584,0.015383842393365934
provider_044,48,8055,3357659.1957236184,3103567.1501918547,254092.0455317637,0.4182099976322182,0.015125950230670876
provider_045,17,18012,2761340.668609074,2517110.088425922,244230.58018315164,0.37747374182194254,0.014538902990555897
provider_017,66,18157,4694053.705590602,4452814.733024167,241238.9725664351,0.5318382590260117,0.014360814346240217
provider_022,50,4194,3563964.8279347713,3330454.059838817,233510.76809595432,0.4333998240904792,0.013900758873239084
provider_026,80,9776,2610379.190164974,2386457.747749725,223921.44241524907,0.3346278664804626,0.013329911947714572
provider_024,111,3033,2254546.1439900557,2038233.6291683624,216312.5148216933,0.5221651080303324,0.012876956957140043
provider_009,32,14995,1548477.485957431,1335609.5635805973,212867.92237683362,0.4386761091594123,0.012671902392063627
provider_034,71,16737,1752296.8993077793,1568468.819195098,183828.08011268126,0.4732129831476236,0.010943177638501082
provider_016,96,6853,4651845.504934968,4472097.52909409,179747.97584087867,0.3855630368831034,0.010700291427631806
provider_036,17,14155,1175358.9558173132,1002539.4678701836,172819.48794712953,0.5264213449415303,0.010287842612733529
provider_018,24,7723,2779625.7354695913,2622660.782399325,156964.95307026617,0.3300993082292438,0.009344031463604534
provider_021,65,16015,2109385.046146469,1953148.666968675,156236.3791777941,0.43166847001479597,0.009300659887710313
provider_037,104,2395,5917695.129473377,5767460.814428766,150234.31504461076,0.5158339796258806,0.008943360535147634
provider_041,28,8986,1642340.770348763,1499893.301131949,142447.46921681403,0.2862044216004686,0.008479814176588225
provider_025,95,13886,937270.5626679951,801750.4644873608,135520.09818063432,0.4215462778996919,0.008067431847565074
provider_004,58,9601,5486381.424440241,5354669.476353494,131711.94808674697,0.3391673323956187,0.007840734909176014
provider_049,84,12916,1385044.2659038648,1256316.1601918347,128728.10571203008,0.5241494378131806,0.007663108525155691
provider_043,87,16912,3846172.0668052305,3738161.7056870935,108010.3611181369,0.6341545670379223,0.00642979335795655
provider_032,34,9024,3547901.460800529,3442406.7942030993,105494.66659742966,0.45554542871592235,0.006280035540720858
provider_048,108,13808,1157374.3948707576,1062107.9135158758,95266.48135488178,0.3861139493712253,0.005671157680711181
provider_039,40,15472,1709538.3427520134,1627062.656156131,82475.68659588229,0.44922873170849165,0.004909729181324464
provider_019,102,1988,731133.7592595456,662533.010478299,68600.7487812466,0.5648014793235995,0.004083762282602335
provider_001,19,15318,1999311.5185633125,1935564.4500406864,63747.06852262607,0.52370465475785,0.003794825547594209
provider_035,107,12780,670340.5485039536,621284.3661366482,49056.18236730539,0.4338368493116621,0.002920285723394739
provider_010,20,13819,1358975.551519801,1314589.1154458446,44386.43607395631,0.5160376616531636,0.0026422984693064244
provider_002,95,4295,555217.0231325413,522438.08020953106,32778.94292301027,0.48274948267830436,0.0019513112196401826
