user_id,event_index,event_type,event_timestamp
U00001,0,landing,2024-01-24 00:00:00
U00001,1,browse,2024-01-24 07:00:00
U00001,2,browse,2024-01-25 18:00:00
U00001,3,register,2024-01-26 00:00:00
U00001,4,deposit,2024-01-27 04:00:00
U00002,0,landing,2024-01-18 00:00:00
U00002,1,browse,2024-01-18 13:00:00
U00002,2,browse,2024-01-20 00:00:00
U00002,3,register,2024-01-21 03:00:00
U00002,4,exit,2024-01-21 18:00:00
U00003,0,landing,2024-01-25 00:00:00
U00003,1,browse,2024-01-25 11:00:00
U00003,2,exit,2024-01-26 15:00:00
U00004,0,landing,2024-01-11 00:00:00
U00004,1,browse,2024-01-11 07:00:00
U00004,2,browse,2024-01-11 13:00:00
U00004,3,exit,2024-01-12 14:00:00
U00005,0,landing,2024-01-26 00:00:00
U00005,1,browse,2024-01-26 03:00:00
U00005,2,exit,2024-01-27 09:00:00
U00006,0,landing,2024-01-27 00:00:00
U00006,1,browse,2024-01-28 00:00:00
U00006,2,register,2024-01-28 13:00:00
U00006,3,exit,2024-01-28 18:00:00
U00007,0,landing,2024-01-08 00:00:00
U00007,1,browse,2024-01-08 07:00:00
U00007,2,register,2024-01-09 08:00:00
U00007,3,deposit,2024-01-10 02:00:00
U00007,4,exit,2024-01-11 08:00:00
U00008,0,landing,2024-01-09 00:00:00
U00008,1,browse,2024-01-09 05:00:00
U00008,2,register,2024-01-09 16:00:00
U00008,3,deposit,2024-01-11 03:00:00
U00008,4,exit,2024-01-11 19:00:00
U00009,0,landing,2024-01-21 00:00:00
U00009,1,browse,2024-01-21 15:00:00
U00009,2,exit,2024-01-22 12:00:00
U00010,0,landing,2024-01-11 00:00:00
U00010,1,browse,2024-01-12 02:00:00
U00010,2,register,2024-01-12 20:00:00
U00010,3,deposit,2024-01-13 01:00:00
U00010,4,exit,2024-01-13 15:00:00
U00011,0,landing,2024-01-19 00:00:00
U00011,1,exit,2024-01-19 21:00:00
U00012,0,landing,2024-01-21 00:00:00
U00012,1,browse,2024-01-22 06:00:00
U00012,2,exit,2024-01-22 16:00:00
U00013,0,landing,2024-01-09 00:00:00
U00013,1,browse,2024-01-10 04:00:00
U00013,2,exit,2024-01-11 06:00:00
U00014,0,landing,2024-01-25 00:00:00
U00014,1,browse,2024-01-25 04:00:00
U00014,2,register,2024-01-25 12:00:00
U00014,3,deposit,2024-01-25 22:00:00
U00014,4,exit,2024-01-26 09:00:00
U00015,0,landing,2024-01-15 00:00:00
U00015,1,browse,2024-01-16 10:00:00
U00015,2,register,2024-01-17 03:00:00
U00015,3,deposit,2024-01-17 04:00:00
U00015,4,exit,2024-01-17 12:00:00
U00016,0,landing,2024-01-04 00:00:00
U00016,1,browse,2024-01-04 19:00:00
U00016,2,register,2024-01-05 23:00:00
U00016,3,exit,2024-01-06 10:00:00
U00017,0,landing,2024-01-09 00:00:00
U00017,1,browse,2024-01-10 09:00:00
U00017,2,exit,2024-01-10 21:00:00
U00018,0,landing,2024-01-27 00:00:00
U00018,1,browse,2024-01-28 09:00:00
U00018,2,browse,2024-01-28 22:00:00
U00018,3,exit,2024-01-29 08:00:00
U00019,0,landing,2024-01-30 00:00:00
U00019,1,browse,2024-01-31 10:00:00
U00019,2,browse,2024-01-31 11:00:00
U00019,3,exit,2024-02-01 08:00:00
U00020,0,landing,2024-01-26 00:00:00
U00020,1,browse,2024-01-26 20:00:00
U00020,2,browse,2024-01-27 12:00:00
U00020,3,register,2024-01-27 16:00:00
U00020,4,exit,2024-01-28 08:00:00
U00021,0,landing,2024-01-03 00:00:00
U00021,1,exit,2024-01-03 06:00:00
U00022,0,landing,2024-01-18 00:00:00
U00022,1,browse,2024-01-18 09:00:00
U00022,2,exit,2024-01-18 18:00:00
U00023,0,landing,2024-01-20 00:00:00
U00023,1,browse,2024-01-21 04:00:00
U00023,2,register,2024-01-21 18:00:00
U00023,3,deposit,2024-01-23 05:00:00
U00023,4,exit,2024-01-23 18:00:00
U00024,0,landing,2024-01-12 00:00:00
U00024,1,browse,2024-01-13 05:00:00
U00024,2,exit,2024-01-14 15:00:00
U00025,0,landing,2024-01-18 00:00:00
U00025,1,browse,2024-01-18 15:00:00
U00025,2,register,2024-01-19 06:00:00
U00025,3,deposit,2024-01-19 07:00:00
U00025,4,exit,2024-01-19 12:00:00
U00026,0,landing,2024-01-11 00:00:00
U00026,1,browse,2024-01-11 05:00:00
U00026,2,browse,2024-01-12 14:00:00
U00026,3,register,2024-01-13 06:00:00
U00026,4,deposit,2024-01-14 00:00:00
U00027,0,landing,2024-01-19 00:00:00
U00027,1,browse,2024-01-20 07:00:00
U00027,2,register,2024-01-20 23:00:00
U00027,3,exit,2024-01-22 06:00:00
U00028,0,landing,2024-01-14 00:00:00
U00028,1,browse,2024-01-15 03:00:00
U00028,2,browse,2024-01-16 09:00:00
U00028,3,register,2024-01-16 13:00:00
U00028,4,deposit,2024-01-16 20:00:00
U00029,0,landing,2024-01-04 00:00:00
U00029,1,browse,2024-01-04 16:00:00
U00029,2,exit,2024-01-05 05:00:00
U00030,0,landing,2024-01-08 00:00:00
U00030,1,browse,2024-01-08 05:00:00
U00030,2,register,2024-01-09 10:00:00
U00030,3,deposit,2024-01-09 17:00:00
U00030,4,exit,2024-01-09 21:00:00
U00031,0,landing,2024-01-25 00:00:00
U00031,1,browse,2024-01-25 16:00:00
U00031,2,register,2024-01-26 03:00:00
U00031,3,deposit,2024-01-27 06:00:00
U00031,4,exit,2024-01-28 14:00:00
U00032,0,landing,2024-01-06 00:00:00
U00032,1,browse,2024-01-07 01:00:00
U00032,2,exit,2024-01-07 02:00:00
U00033,0,landing,2024-01-09 00:00:00
U00033,1,exit,2024-01-10 06:00:00
U00034,0,landing,2024-01-26 00:00:00
U00034,1,browse,2024-01-27 08:00:00
U00034,2,exit,2024-01-27 18:00:00
U00035,0,landing,2024-01-02 00:00:00
U00035,1,browse,2024-01-02 21:00:00
U00035,2,register,2024-01-03 01:00:00
U00035,3,exit,2024-01-03 05:00:00
U00036,0,landing,2024-01-06 00:00:00
U00036,1,browse,2024-01-06 04:00:00
U00036,2,exit,2024-01-07 13:00:00
U00037,0,landing,2024-01-22 00:00:00
U00037,1,browse,2024-01-22 16:00:00
U00037,2,browse,2024-01-23 18:00:00
U00037,3,exit,2024-01-24 02:00:00
U00038,0,landing,2024-01-19 00:00:00
U00038,1,exit,2024-01-19 16:00:00
U00039,0,landing,2024-01-19 00:00:00
U00039,1,browse,2024-01-20 10:00:00
U00039,2,browse,2024-01-21 07:00:00
U00039,3,register,2024-01-22 00:00:00
U00039,4,exit,2024-01-22 14:00:00
U00040,0,landing,2024-01-21 00:00:00
U00040,1,browse,2024-01-21 20:00:00
U00040,2,register,2024-01-23 02:00:00
U00040,3,deposit,2024-01-23 23:00:00
U00040,4,exit,2024-01-24 04:00:00
U00041,0,landing,2024-01-04 00:00:00
U00041,1,browse,2024-01-04 05:00:00
U00041,2,exit,2024-01-05 16:00:00
U00042,0,landing,2024-01-29 00:00:00
U00042,1,browse,2024-01-29 05:00:00
U00042,2,exit,2024-01-29 21:00:00
U00043,0,landing,2024-01-23 00:00:00
U00043,1,browse,2024-01-23 20:00:00
U00043,2,browse,2024-01-25 06:00:00
U00043,3,exit,2024-01-25 07:00:00
U00044,0,landing,2024-01-04 00:00:00
U00044,1,browse,2024-01-04 09:00:00
U00044,2,exit,2024-01-05 02:00:00
U00045,0,landing,2024-01-09 00:00:00
U00045,1,browse,2024-01-09 19:00:00
U00045,2,browse,2024-01-10 09:00:00
U00045,3,exit,2024-01-11 07:00:00
U00046,0,landing,2024-01-29 00:00:00
U00046,1,browse,2024-01-29 04:00:00
U00046,2,register,2024-01-29 10:00:00
U00046,3,deposit,2024-01-30 14:00:00
U00046,4,exit,2024-01-31 08:00:00
U00047,0,landing,2024-01-06 00:00:00
U00047,1,browse,2024-01-07 05:00:00
U00047,2,register,2024-01-08 09:00:00
U00047,3,exit,2024-01-08 10:00:00
U00048,0,landing,2024-01-05 00:00:00
U00048,1,browse,2024-01-06 11:00:00
U00048,2,exit,2024-01-06 14:00:00
U00049,0,landing,2024-01-10 00:00:00
U00049,1,browse,2024-01-11 00:00:00
U00049,2,register,2024-01-11 03:00:00
U00049,3,deposit,2024-01-12 02:00:00
U00049,4,exit,2024-01-12 16:00:00
U00050,0,landing,2024-01-28 00:00:00
U00050,1,browse,2024-01-29 03:00:00
U00050,2,register,2024-01-29 13:00:00
U00050,3,exit,2024-01-30 05:00:00
U00051,0,landing,2024-01-26 00:00:00
U00051,1,exit,2024-01-26 12:00:00
U00052,0,landing,2024-01-01 00:00:00
U00052,1,exit,2024-01-01 12:00:00
U00053,0,landing,2024-01-26 00:00:00
U00053,1,browse,2024-01-26 16:00:00
U00053,2,exit,2024-01-27 10:00:00
U00054,0,landing,2024-01-16 00:00:00
U00054,1,browse,2024-01-16 15:00:00
U00054,2,register,2024-01-17 04:00:00
U00054,3,deposit,2024-01-18 10:00:00
U00054,4,exit,2024-01-19 09:00:00
U00055,0,landing,2024-01-07 00:00:00
U00055,1,browse,2024-01-08 02:00:00
U00055,2,register,2024-01-09 00:00:00
U00055,3,deposit,2024-01-09 18:00:00
U00055,4,exit,2024-01-09 23:00:00
U00056,0,landing,2024-01-09 00:00:00
U00056,1,exit,2024-01-09 23:00:00
U00057,0,landing,2024-01-18 00:00:00
U00057,1,browse,2024-01-18 22:00:00
U00057,2,exit,2024-01-19 00:00:00
U00058,0,landing,2024-01-09 00:00:00
U00058,1,browse,2024-01-09 03:00:00
U00058,2,register,2024-01-09 10:00:00
U00058,3,exit,2024-01-10 14:00:00
U00059,0,landing,2024-01-04 00:00:00
U00059,1,browse,2024-01-05 01:00:00
U00059,2,register,2024-01-05 14:00:00
U00059,3,exit,2024-01-06 07:00:00
U00060,0,landing,2024-01-26 00:00:00
U00060,1,browse,2024-01-27 11:00:00
U00060,2,exit,2024-01-28 00:00:00
U00061,0,landing,2024-01-11 00:00:00
U00061,1,browse,2024-01-11 21:00:00
U00061,2,browse,2024-01-12 05:00:00
U00061,3,exit,2024-01-13 01:00:00
U00062,0,landing,2024-01-18 00:00:00
U00062,1,browse,2024-01-18 09:00:00
U00062,2,register,2024-01-18 22:00:00
U00062,3,exit,2024-01-20 01:00:00
U00063,0,landing,2024-01-06 00:00:00
U00063,1,browse,2024-01-06 20:00:00
U00063,2,exit,2024-01-07 22:00:00
U00064,0,landing,2024-01-19 00:00:00
U00064,1,browse,2024-01-19 21:00:00
U00064,2,browse,2024-01-21 03:00:00
U00064,3,register,2024-01-22 08:00:00
U00064,4,deposit,2024-01-23 13:00:00
U00065,0,landing,2024-01-26 00:00:00
U00065,1,browse,2024-01-26 11:00:00
U00065,2,exit,2024-01-26 17:00:00
U00066,0,landing,2024-01-03 00:00:00
U00066,1,browse,2024-01-03 16:00:00
U00066,2,exit,2024-01-04 12:00:00
U00067,0,landing,2024-01-16 00:00:00
U00067,1,browse,2024-01-16 05:00:00
U00067,2,browse,2024-01-17 11:00:00
U00067,3,register,2024-01-18 14:00:00
U00067,4,deposit,2024-01-19 03:00:00
U00068,0,landing,2024-01-23 00:00:00
U00068,1,browse,2024-01-23 01:00:00
U00068,2,register,2024-01-23 08:00:00
U00068,3,deposit,2024-01-24 12:00:00
U00068,4,exit,2024-01-25 03:00:00
U00069,0,landing,2024-01-02 00:00:00
U00069,1,browse,2024-01-02 16:00:00
U00069,2,exit,2024-01-03 00:00:00
U00070,0,landing,2024-01-18 00:00:00
U00070,1,browse,2024-01-18 21:00:00
U00070,2,exit,2024-01-20 02:00:00
U00071,0,landing,2024-01-27 00:00:00
U00071,1,browse,2024-01-28 05:00:00
U00071,2,exit,2024-01-28 16:00:00
U00072,0,landing,2024-01-21 00:00:00
U00072,1,browse,2024-01-21 18:00:00
U00072,2,register,2024-01-23 04:00:00
U00072,3,deposit,2024-01-24 12:00:00
U00072,4,exit,2024-01-25 04:00:00
U00073,0,landing,2024-01-11 00:00:00
U00073,1,browse,2024-01-12 11:00:00
U00073,2,browse,2024-01-12 17:00:00
U00073,3,register,2024-01-13 02:00:00
U00073,4,deposit,2024-01-13 12:00:00
U00074,0,landing,2024-01-03 00:00:00
U00074,1,browse,2024-01-04 03:00:00
U00074,2,exit,2024-01-05 06:00:00
U00075,0,landing,2024-01-13 00:00:00
U00075,1,browse,2024-01-13 02:00:00
U00075,2,register,2024-01-14 03:00:00
U00075,3,exit,2024-01-15 10:00:00
U00076,0,landing,2024-01-28 00:00:00
U00076,1,browse,2024-01-29 03:00:00
