user_id,deposits,sessions,wagered_amount,net_revenue,days_active
U0001,12,45,3250,480,26
U0002,5,22,980,150,14
U0003,30,120,8900,1320,28
U0004,18,60,4350,720,23
U0005,2,8,220,30,5
U0006,8,30,1450,210,15
U0007,25,90,7150,1040,25
U0008,14,55,3820,540,20
U0009,1,5,100,15,3
U0010,3,10,310,50,7
U0011,22,80,6400,930,27
U0012,16,50,4020,610,18
U0013,7,28,1350,180,13
U0014,12,42,2980,440,21
U0015,4,12,450,70,6
U0016,28,110,8650,1270,29
U0017,6,24,950,140,10
U0018,9,36,1670,240,16
U0019,19,72,5200,790,22
U0020,2,6,190,25,4
U0021,23,85,6700,980,25
U0022,15,52,3550,500,18
U0023,10,40,2100,310,17
U0024,13,48,3200,460,20
U0025,29,115,9020,1350,30
U0026,5,20,890,130,9
U0027,11,39,2800,390,18
U0028,17,65,4800,700,22
U0029,8,31,1500,200,14
U0030,27,100,8450,1250,28
